text,id,date
"RT @dasegnini: Les molesta que sea playo, que sea loca, que no esté muerto, les molesta que el contenido no es de su consumo, les molesta q…",1174038318885036033#,Tue Sep 17 19:12:02 +0000 2019
@raticio @wendolinacr Playo usted es el qué está basureando!,1174033223908827137#,Tue Sep 17 18:51:47 +0000 2019
@davi_2508 Lo vemos en anato playo,1174021776097120256#,Tue Sep 17 18:06:18 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1174019483045810176#,Tue Sep 17 17:57:11 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1174015250510700544#,Tue Sep 17 17:40:22 +0000 2019
Mi historial ligando con mujeres es proporcional a la cantidad de veces que se acercan solo porque quieren un amigo playo :( https://t.co/bURJeWJ0fB,1174014320851730438#,Tue Sep 17 17:36:40 +0000 2019
@fernycool81 @marianaa105 Es atrayente para babosas y caracoles. Se pone en una tapa de pintura o algún otro recipiente bajo y playo que les resulte de fácil acceso. Se ahogan en la cerveza 💀💀,1174004291432067072#,Tue Sep 17 16:56:49 +0000 2019
"Va un carepicha señor al lado mío y se durmió con las piernas abiertas como si tubieta un maldito tumor entre las piernas que no lo dejan cerrarlas. ME CAGO EN LA PUTA. 

Digamos que me vengo vomitando porque soy un malparido asqueroso y este playo no se mueve 😡😡",1173999972100005889#,Tue Sep 17 16:39:39 +0000 2019
@OscarLorioxD Felicidades míster músculo! Dios te bendiga campeón! Pasala excelente playo ❤,1173979501329616896#,Tue Sep 17 15:18:19 +0000 2019
RT @cole_norton: @Rockies Woooo! Only 40 more wins in a row and they'll make the playo...oh wait...,1173961374592110595#,Tue Sep 17 14:06:17 +0000 2019
@therquen @FabianPasos @Juandedios_P Cm siempre todo playo 😂😂,1173959150839238656#,Tue Sep 17 13:57:27 +0000 2019
"RT @YourStoryCo: .@Olacabs says Hola! They're all prepped up for the first edition of AWS Unicorn Sports League, in association with YourSt…",1173957270117343232#,Tue Sep 17 13:49:58 +0000 2019
"RT @YourStoryCo: Look who's all excited for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. @rummy…",1173957252287352832#,Tue Sep 17 13:49:54 +0000 2019
"RT @YourStoryCo: AWS Unicorn Sports League, in association with YourStory and Playo will take place on September 20, 2019 at the TurfPark K…",1173956968735760384#,Tue Sep 17 13:48:47 +0000 2019
"RT @ArthTiwari98: RT YourStoryCo: AWS Unicorn Sports League, in association with YourStory and Playo will take place on September 20, 2019…",1173956942466650117#,Tue Sep 17 13:48:40 +0000 2019
"RT @YourStoryCo: 3 days until #AWSUnicornSportsLeague, in association with YourStory and Playo, where GO MMT is up against @Razorpay. On Se…",1173956909969227776#,Tue Sep 17 13:48:33 +0000 2019
"RT YourStoryCo: 3 days until #AWSUnicornSportsLeague, in association with YourStory and Playo, where GO MMT is up against Razorpay. On September 20, 2019 at the TurfPark Koramangala in Bengaluru, who will go big and who will go home?  

More Details: … https://t.co/cOxqN1JExp",1173955864790745091#,Tue Sep 17 13:44:23 +0000 2019
"3 days until #AWSUnicornSportsLeague, in association with YourStory and Playo, where GO MMT is up against @Razorpay. On September 20, 2019 at the TurfPark Koramangala in Bengaluru, who will go big and who will go home?  

More Details: https://t.co/LYuvY3KHYT

@PlayoApp @awscloud https://t.co/XAtobrQTqi",1173955704388038656#,Tue Sep 17 13:43:45 +0000 2019
"RT YourStoryCo: AWS Unicorn Sports League, in association with YourStory and Playo will take place on September 20, 2019 at the TurfPark Koramangala in Bengaluru. swiggy_in  or DunzoIt, who do you think will deliver?

More Details: … https://t.co/P00U27Aigf",1173950935439159298#,Tue Sep 17 13:24:48 +0000 2019
"AWS Unicorn Sports League, in association with YourStory and Playo will take place on September 20, 2019 at the TurfPark Koramangala in Bengaluru. @swiggy_in  or @DunzoIt, who do you think will deliver?

More Details: https://t.co/LYuvY3KHYT

#AWSUnicornSportsLeague https://t.co/VWQNCGJ2ci",1173949875379146754#,Tue Sep 17 13:20:35 +0000 2019
"RT @YourStoryCo: . @Razorpay can't contain their excitement for the first edition of AWS Unicorn Sports League, in association with YourSto…",1173929882046230530#,Tue Sep 17 12:01:09 +0000 2019
"RT @YourStoryCo: Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory a…",1173929860915326976#,Tue Sep 17 12:01:04 +0000 2019
"RT @YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to…",1173929822726152194#,Tue Sep 17 12:00:54 +0000 2019
"RT @YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to…",1173929770750337024#,Tue Sep 17 12:00:42 +0000 2019
"RT @YourStoryCo: .@rummycircle is here to grab the win at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173929696553136128#,Tue Sep 17 12:00:24 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173929669709533184#,Tue Sep 17 12:00:18 +0000 2019
"RT @YourStoryCo: .@Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with Your…",1173929632350924800#,Tue Sep 17 12:00:09 +0000 2019
"RT @YourStoryCo: .@Olacabs says Hola! They're all prepped up for the first edition of AWS Unicorn Sports League, in association with YourSt…",1173929588977590272#,Tue Sep 17 11:59:59 +0000 2019
"RT @YourStoryCo: Look who's all excited for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. @rummy…",1173929575065063424#,Tue Sep 17 11:59:55 +0000 2019
"RT YourStoryCo: Look who's all excited for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. rummycircle  is all set for the battle on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsL… https://t.co/iwVnbsF2ek",1173920637146030080#,Tue Sep 17 11:24:24 +0000 2019
"Look who's all excited for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. @rummycircle  is all set for the battle on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsLeague @PlayoApp @awscloud https://t.co/jU8hip62F2",1173919833232007168#,Tue Sep 17 11:21:13 +0000 2019
"RT YourStoryCo: .Olacabs says Hola! They're all prepped up for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Come watch them play on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSport… https://t.co/6yghdFtb8K",1173916981629788161#,Tue Sep 17 11:09:53 +0000 2019
".@Olacabs says Hola! They're all prepped up for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Come watch them play on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsLeague @PlayoApp @awscloud @woodyvijay https://t.co/HCkvKc8sp4",1173916378320949249#,Tue Sep 17 11:07:29 +0000 2019
"RT @YourStoryCo: .@Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with Your…",1173915427421835265#,Tue Sep 17 11:03:42 +0000 2019
"RT YourStoryCo: .Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Don't miss out watching them on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUn… https://t.co/iVRIP1ljzc",1173914272524636160#,Tue Sep 17 10:59:07 +0000 2019
".@Bigbasket got a bag full of energy in store for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Don't miss out watching them on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsleague @PlayoApp @awscloud https://t.co/YrWP3KOkFB",1173913383890051077#,Tue Sep 17 10:55:35 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173903233900658688#,Tue Sep 17 10:15:15 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173899643337371648#,Tue Sep 17 10:00:59 +0000 2019
"RT @YourStoryCo: .@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173893660439543809#,Tue Sep 17 09:37:13 +0000 2019
"RT @YourStoryCo: .@rummycircle is here to grab the win at the first edition of AWS Unicorn Sports League, in association with YourStory and…",1173893634820673536#,Tue Sep 17 09:37:07 +0000 2019
"RT YourStoryCo: .bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Are you ready to watch them on September 20,2019 at the TurfPark Koramangala in Bengaluru? 

#AWSUnicornSport… https://t.co/CAu9K3Y7Q3",1173884173951668224#,Tue Sep 17 08:59:31 +0000 2019
".@bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Are you ready to watch them on September 20,2019 at the TurfPark Koramangala in Bengaluru? 

#AWSUnicornSportsleague @PlayoApp @awscloud
 @rakshitdaga https://t.co/9Goq21rkT5",1173883801522647040#,Tue Sep 17 08:58:02 +0000 2019
"Symbo, a technology-driven insurance broking company, has launched a fitness cover for football enthusiasts who play on artificial turf.  #AnikJainCofounderandCEOofSymboInsurance #GauravjeetSinghCEOPlayo #Playo #Symbo #turffootball https://t.co/z4fZeTIrmM https://t.co/XYm6zS8jzs",1173883186830557184#,Tue Sep 17 08:55:36 +0000 2019
"RT YourStoryCo: .rummycircle is here to grab the win at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Don't miss out on them battling with other unicorns on September 20, 2019 at the TurfPark Koramangala in Beng… https://t.co/XfbtRagQAo",1173875303309074433#,Tue Sep 17 08:24:16 +0000 2019
".@rummycircle is here to grab the win at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Don't miss out on them battling with other unicorns on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsleague @PlayoApp https://t.co/7WvqaPaXL4",1173874599974408192#,Tue Sep 17 08:21:28 +0000 2019
"RT YourStoryCo: rummycircle is here to grab the win at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Don't miss out on them battling with other unicorns on September 20, 2019 at the TurfPark Koramangala in Benga… https://t.co/81QcRKZJ3Z",1173872877885636608#,Tue Sep 17 08:14:38 +0000 2019
"@FabianPasos @Juandedios_P Y tu también por q pareces playo defendiendolo 😂😂😂.. Yo creo q ya Juan  esta grandecito cm para defenderse el solito , no crees ???",1173869724033265664#,Tue Sep 17 08:02:06 +0000 2019
"RT YourStoryCo: bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Are you ready to watch them on September 20, 2019 at the TurfPark Koramangala in Bengaluru? 

#AWSUnicornSport… https://t.co/GNDip0BALO",1173867792833163265#,Tue Sep 17 07:54:25 +0000 2019
"RT YourStoryCo: .bigbasket_com is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Are you ready to watch them on September 20, 2019 at the TurfPark Koramangala in Bengaluru? 

#AWSUnicornSpor… https://t.co/5ZqHWnLHMr",1173862711849115648#,Tue Sep 17 07:34:14 +0000 2019
@sebasvas12 Se acuerda del Playo de Joanes annanajajssnn,1173856624320139264#,Tue Sep 17 07:10:03 +0000 2019
"RT @dasegnini: Les molesta que sea playo, que sea loca, que no esté muerto, les molesta que el contenido no es de su consumo, les molesta q…",1173855020963520512#,Tue Sep 17 07:03:40 +0000 2019
"RT @O10Henry: Hoy un compañero (playo) se dio por aludido por referirme a mi mismo como ""Loca"" 🙄 
A ver mae empezá por aprender que apropia…",1173854934611169280#,Tue Sep 17 07:03:20 +0000 2019
Tengo como 1 hora de estar acostada y nada que viene el playo de Morfeo 😒,1173853887650045952#,Tue Sep 17 06:59:10 +0000 2019
"RT @YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to…",1173846793001455617#,Tue Sep 17 06:30:59 +0000 2019
@andres_chacooon Este playo😂😂😂😂,1173844631731224577#,Tue Sep 17 06:22:23 +0000 2019
"RT @YourStoryCo: Mobile Premier League is all set to compete at the first edition of AWS Unicorn Sports League, in association with YourSto…",1173840892840382464#,Tue Sep 17 06:07:32 +0000 2019
"RT @YourStoryCo: .@swiggy_in is here to claim the title at the first edition of AWS Unicorn Sports League, in association with YourStory an…",1173840831658086401#,Tue Sep 17 06:07:17 +0000 2019
"RT @YourStoryCo: Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory a…",1173840741333786625#,Tue Sep 17 06:06:56 +0000 2019
"RT @ArthTiwari98: RT YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT o…",1173840683192348672#,Tue Sep 17 06:06:42 +0000 2019
"RT @YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to…",1173840652641038336#,Tue Sep 17 06:06:35 +0000 2019
"RT @ArthTiwari98: RT YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT o…",1173840606352871424#,Tue Sep 17 06:06:24 +0000 2019
"RT @YourStoryCo: . @Razorpay can't contain their excitement for the first edition of AWS Unicorn Sports League, in association with YourSto…",1173840514338050049#,Tue Sep 17 06:06:02 +0000 2019
"RT @YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to…",1173840439704637441#,Tue Sep 17 06:05:44 +0000 2019
"@ja_sanchez13 @jose99gon No estoy a la moda, ni Playo ni feo 🥺",1173839902636695553#,Tue Sep 17 06:03:36 +0000 2019
@jose99gon @ja_sanchez13 Es tendencia ser Playo,1173839671379550208#,Tue Sep 17 06:02:41 +0000 2019
"RT @ja_sanchez13: @jose99gon Si, lo más rentable es que se haga playo :/",1173838867243438080#,Tue Sep 17 05:59:29 +0000 2019
"@jose99gon Si, lo más rentable es que se haga playo :/",1173838790219243520#,Tue Sep 17 05:59:11 +0000 2019
"RT @YourStoryCo: . @Razorpay can't contain their excitement for the first edition of AWS Unicorn Sports League, in association with YourSto…",1173836822956298240#,Tue Sep 17 05:51:22 +0000 2019
"RT YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to get set and go! On Sept 20, 2019 at the TurfPark Koramangala in Bengaluru, catch them at the peak of their sporty s… https://t.co/faqOGN6plt",1173836335016267776#,Tue Sep 17 05:49:25 +0000 2019
"RT @AlexBadilla: Les molesta que sea playo, que sea loca, que no esté muerto, les molesta que el contenido no es de su consumo, les molesta…",1173836275914293248#,Tue Sep 17 05:49:11 +0000 2019
"The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to get set and go! On Sept 20, 2019 at the TurfPark Koramangala in Bengaluru, catch them at the peak of their sporty spirit. 
#AWSUnicornSportsLeague @redBus_in https://t.co/1tHHFcnvL4",1173835831418580992#,Tue Sep 17 05:47:25 +0000 2019
"RT @dasegnini: Les molesta que sea playo, que sea loca, que no esté muerto, les molesta que el contenido no es de su consumo, les molesta q…",1173835709142224897#,Tue Sep 17 05:46:56 +0000 2019
"Yo: ok mae, vamos a salir de esta
Mi cerebro: playo, ponga música sad",1173830949831872512#,Tue Sep 17 05:28:01 +0000 2019
@Rockies Woooo! Only 40 more wins in a row and they'll make the playo...oh wait...,1173828247337021440#,Tue Sep 17 05:17:17 +0000 2019
"RT YourStoryCo: The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to get set and go! On September 20, 2019 at the TurfPark Koramangala in Bengaluru, catch them at the peak of their spo… https://t.co/XCDicST49O",1173823792793174017#,Tue Sep 17 04:59:35 +0000 2019
"The first edition of AWS Unicorn Sports League, in association with YourStory and Playo, has got GO-MMT on their marks, to get set and go! On September 20, 2019 at the TurfPark Koramangala in Bengaluru, catch them at the peak of their sporty spirit. 

#AWSUnicornSportsLeague https://t.co/UcFV3P8jxR",1173823607115407360#,Tue Sep 17 04:58:51 +0000 2019
@Deimerblanco7 Playo estaba en los ángeles y no dijo nada :/,1173822880565616640#,Tue Sep 17 04:55:57 +0000 2019
"RT @YourStoryCo: Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory a…",1173821875937374208#,Tue Sep 17 04:51:58 +0000 2019
@maurg1 @maire_wink @ElJuanjoHerrera Que le valga verga lo que hacen pinche gordo culero playo malparido metiche e hijueputa 👀❤,1173821837752635392#,Tue Sep 17 04:51:49 +0000 2019
"RT YourStoryCo: Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. They're in it to win on September 20, 2019 at the TurfPark Koramangala in Bengaluru! '

PlayMPL PlayoApp k… https://t.co/dQDQZ0kstf",1173820971628859397#,Tue Sep 17 04:48:22 +0000 2019
"Mobile Premier League is all geared up for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. They're in it to win on September 20, 2019 at the TurfPark Koramangala in Bengaluru! '

@PlayMPL @PlayoApp @kadspark
 #AWSUnicornSportsLeague https://t.co/kzT9JtwzGo",1173820877323960320#,Tue Sep 17 04:48:00 +0000 2019
"RT YourStoryCo: . Razorpay can't contain their excitement for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Get ready to watch them play on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnico… https://t.co/osGQdastsV",1173818430249721856#,Tue Sep 17 04:38:16 +0000 2019
". @Razorpay can't contain their excitement for the first edition of AWS Unicorn Sports League, in association with YourStory and Playo. Get ready to watch them play on September 20, 2019 at the TurfPark Koramangala in Bengaluru.

#AWSUnicornSportsLeague 
@PlayoApp
 
@leostatic https://t.co/AUMZLWve7a",1173818082877296640#,Tue Sep 17 04:36:54 +0000 2019
