text,id,date
"@naniyouthicon To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172828678146805760#,Sat Sep 14 11:05:21 +0000 2019
"@proudtelugu999 To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfEunnW",1172828450438008832#,Sat Sep 14 11:04:27 +0000 2019
"@Pavan96150278 Hey Pavan, Fitculb is applicable only for the orders when placed from the https://t.co/KCrb1f4RI2 app.",1172761183457353730#,Sat Sep 14 06:37:09 +0000 2019
"RT @romilpunetha: A kubernetes story...

https://t.co/lxwbKfdAGj https://t.co/lxwbKfdAGj",1172713443968901121#,Sat Sep 14 03:27:27 +0000 2019
"@581335 To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback
 https://t.co/mP8bfELYMw",1172687328135012353#,Sat Sep 14 01:43:41 +0000 2019
"@Deal_Bee To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback

https://t.co/mP8bfELYMw",1172674331077468160#,Sat Sep 14 00:52:02 +0000 2019
"@SarkariDeals To maximize benefits First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback

https://t.co/mP8bfELYMw",1172674146326724609#,Sat Sep 14 00:51:18 +0000 2019
RT @g_vinay15: @Shahism029 @madireddysande1 @Techglares First Register in eatfit using below link... Then go to phonepe app - apps section…,1172673603655127040#,Sat Sep 14 00:49:08 +0000 2019
@BeCureFit Open more cure fit centres👍,1172567507707629569#,Fri Sep 13 17:47:33 +0000 2019
"A kubernetes story...

https://t.co/lxwbKfdAGj https://t.co/lxwbKfdAGj",1172543585205420033#,Fri Sep 13 16:12:30 +0000 2019
"RT @BeCureFit: Kaching! 👊
Fitness has never been so rewarding!  

Here's introducing the FitClub. 🙌

Get ready to earn FitCash by working o…",1172495837932339201#,Fri Sep 13 13:02:46 +0000 2019
"@ram_nagesham143 First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback

https://t.co/mP8bfEunnW",1172465220905664514#,Fri Sep 13 11:01:06 +0000 2019
"@Shahism029 @madireddysande1 @Techglares First Register in eatfit using below link... Then go to phonepe app - apps section select eatfit and order anything get 100% Upto 125rs cashback

https://t.co/mP8bfEunnW",1172465174957019136#,Fri Sep 13 11:00:55 +0000 2019
"RT @BeCureFit: Kaching! 👊
Fitness has never been so rewarding!  

Here's introducing the FitClub. 🙌

Get ready to earn FitCash by working o…",1172400730138796032#,Fri Sep 13 06:44:50 +0000 2019
"@mankuthimma Good share. But what are the other profitable services for UPI apps like Google pay, Paytm ? For something like https://t.co/OGq8WVWTKd etc ? https://t.co/vpN5t3u3pV etc may be.",1172215646710448128#,Thu Sep 12 18:29:23 +0000 2019
"LinkedIn Top Startup’s 2019 in India
1. Oyo
2. https://t.co/CbaDwrkjgU
3. TapChief
4. RazorPay
5. Bounce

https://t.co/TCPFVkr5nM",1172178305325436928#,Thu Sep 12 16:01:00 +0000 2019
"Here's to your dream of getting that body! We'll give you the push Get https://t.co/1eEgVp9h7h by @BeCureFit free for 10 days with Times Prime

Subscribe Now!
https://t.co/Wm40R1dQRe

#TimesPrime #CultFit https://t.co/rqJHGuSyE0",1172155402986934273#,Thu Sep 12 14:30:00 +0000 2019
"RT @Fotobubbles: Promo video of https://t.co/qm3yMCwftL TVC of ads shot by us!
Tell us in the comment section if you like it😍
.
.
#shoot #p…",1172135060490919936#,Thu Sep 12 13:09:10 +0000 2019
"Promo video of https://t.co/qm3yMCwftL TVC of ads shot by us!
Tell us in the comment section if you like it😍
.
.
#shoot #photooftheday #photography #cinematography #video #filmmaking #film https://t.co/r9xiQVfShz",1172132904702529536#,Thu Sep 12 13:00:36 +0000 2019
