text,id,date
"@BeCureFit Eat fit joint in electronic City phase 1 refusing to give order through Dunzo app . In zomato it's showing restaurant not accepting order , in curefit app - showing address not servicable . Is there any way customer can purchase stuff from there ?",1173128091755065344#,Sun Sep 15 06:55:07 +0000 2019
"RT @BL_SandwichCo: Thanks @WWLTV! Chef Brad, Jala from @ochsnereatfit, @EPaulsenWWL after talking about Eat Fit NOLA Dine Out Event... eat…",1173082478078242816#,Sun Sep 15 03:53:52 +0000 2019
@VinodTaparia1 Which one ? Eat fit ??,1173074639641120769#,Sun Sep 15 03:22:43 +0000 2019
RT @shistakrita: @krishnasinghani @BBMPCOMM @Zomato @fssaiindia https://t.co/64RvAbfrrJ Whitefield is no exception. Visited today and the w…,1173036801079951360#,Sun Sep 15 00:52:22 +0000 2019
@ONEtari_ @Chanduck1604 @Techglares Go to Phone pe and open apps section in that open eat fit ....,1172916353059016704#,Sat Sep 14 16:53:44 +0000 2019
@shistakrita @BBMPCOMM @Zomato @fssaiindia @Unilever @KotakBankLtd @Kalaari @EPIQCapital @InnoVenCap_IN This is the pic just taken at @BeCureFit https://t.co/GfP2RHqMLd Nagawara n it stinks @BBMPCOMM ur heath officers may be supporting them for their own interest but corruption needs to be checked as this is a serious health risk @CMofKarnataka @drashwathcn @narendramodi @AmitShah https://t.co/sK0UMLHemf,1172909811643510784#,Sat Sep 14 16:27:45 +0000 2019
RT @shistakrita: @krishnasinghani @BBMPCOMM @Zomato @fssaiindia https://t.co/64RvAbfrrJ Whitefield is no exception. Visited today and the w…,1172908300775485440#,Sat Sep 14 16:21:45 +0000 2019
"Tasty Nutritious Raw Goji Berry Brownie – Perfectly Nutty Chocoholic Cake https://t.co/8MNt8DaK6U
.
💝Like and Share if you're loving this💝
.
#freedom #getwellsoon #livefree #cleanfood #eatwell #lovely #eat #fit #instafit #fitgirl https://t.co/VkQhfAuwqV",1172906049881247745#,Sat Sep 14 16:12:48 +0000 2019
"RT @KeepFitEatFit: Eat Fit || 5 Keto Soup Recipes Because Fall Is Coming (!!!)

https://t.co/DHN8xJju8H

#kfef #eatfit #soup https://t.co/U…",1172905747933532160#,Sat Sep 14 16:11:36 +0000 2019
"Eat Fit || 5 Keto Soup Recipes Because Fall Is Coming (!!!)

https://t.co/DHN8xJju8H

#kfef #eatfit #soup https://t.co/UYYCJRlooI",1172903338863747074#,Sat Sep 14 16:02:02 +0000 2019
@priyamucharla Eat. Fit birayani ite bagundi👌,1172900280976887809#,Sat Sep 14 15:49:53 +0000 2019
"@krishnasinghani @BBMPCOMM @Zomato @fssaiindia https://t.co/64RvAbfrrJ Whitefield is no exception. Visited today and the whole place stinks extremely badly, not sure how they have permits to run such disgusting place.",1172877105975050240#,Sat Sep 14 14:17:47 +0000 2019
@BeCureFit @mukeshbansal06 Visited https://t.co/IerfeKhPmt Whitefield today to enquire why they can't deliver to my place. Disgusted to see that the food is prepared at such an awful stinking locality. Not sure how u guys even got the permit to run such a place :( Never  ordering,1172875026351001602#,Sat Sep 14 14:09:31 +0000 2019
Phonepe Food offer 100% cashback on ordering from https://t.co/muNFOFVdWF - https://t.co/wOw5FsmQ2g https://t.co/fMrSsin5QF,1172831804228718592#,Sat Sep 14 11:17:46 +0000 2019
"Eat Fit || Baked Oatmeal Recipe with Pears Bananas and Walnuts

https://t.co/Qdinu25FIp

#kfef #eatfit #oatmeal #bananas https://t.co/SZBWxy47Ku",1172831613761269760#,Sat Sep 14 11:17:01 +0000 2019
RT @krishnasinghani: Outside https://t.co/GfP2RHqMLd Nagawara; @BBMPCOMM  and over that @Zomato gives them excellent hygiene rating; @fssai…,1172817965734957058#,Sat Sep 14 10:22:47 +0000 2019
Outside https://t.co/GfP2RHqMLd Nagawara; @BBMPCOMM  and over that @Zomato gives them excellent hygiene rating; @fssaiindia how are such things happening; where is hygiene https://t.co/X8uy78Iyxx,1172788012284968960#,Sat Sep 14 08:23:46 +0000 2019
@Zomato @deepigoyal u have rated @BeCureFit https://t.co/GfP2RHqMLd Nagawara excellent on hygiene; pls visit the location and it stinks outside; don't know how bad is the condition inside; request u not to play wt ppls health for making money https://t.co/V9lGyA1M7G,1172787390705885184#,Sat Sep 14 08:21:17 +0000 2019
"Eat Fit || Try this awesome smoothie to kick-start your weekend !

#kfef #eatfit #smoothie https://t.co/OF4ogPZEXr",1172777336724496390#,Sat Sep 14 07:41:20 +0000 2019
"@BeCureFit You have Such a pathetic and horrible support.

I have opened 3 support cases regarding https://t.co/5UmyDkh8dH offer and you guys closed without even contacting me.

Please feel free to read through the support cases that explain how you cheat your subscribers. https://t.co/o9tLOKiy8x",1172749962313994242#,Sat Sep 14 05:52:34 +0000 2019
"Ya probaste de todo y no te dan resultados? Mejor únete a eat&amp;fit y empieza a notar la diferencia, ajustamos tus alimentos, te ofrecemos productos con la más alta calidad y lo mejor te dejamos tus alimentos en la puerta de tu casa. https://t.co/LoMuwTHFlE",1172588758086160384#,Fri Sep 13 19:12:00 +0000 2019
@Zomato @deepigoyal u hv rated @BeCureFit https://t.co/GfP2RHqMLd Nagawara as excellent on hygiene; but then it stinks outside the outlet n garbage is pilled up; what is the condition inside God knows,1172568494979764224#,Fri Sep 13 17:51:29 +0000 2019
Dat Dog builds on 'greenie weenie' side of its menu with help of Eat Fit Nola https://t.co/XqIHRLHhTL via @The_Gambit,1172558735421689856#,Fri Sep 13 17:12:42 +0000 2019
"@BeCureFit There is an ICICI meal card some companies are providing , It's not accepted to order eat fit , Can any chances of work around to make it possible??",1172557388785651712#,Fri Sep 13 17:07:21 +0000 2019
"Hey https://t.co/845Er5e89O team, which type of service you are providing..today i order first time at 3PM  on https://t.co/Mk9CjMX6GZ by phone pay app but till now i  didn't get it... Its delivery time keep on changing.. could you please tell me when i will get it ?
@BeCureFit https://t.co/1VNQ7U2ExT",1172544532417671169#,Fri Sep 13 16:16:16 +0000 2019
"Eat Fit || Maple Garlic Chicken | Full Meal

https://t.co/tOufto0vRL

#eatfit #kfef #maple #chicken https://t.co/ZKjCeXwyEb",1172540951195246592#,Fri Sep 13 16:02:02 +0000 2019
@beastoftraal @BeCureFit https://t.co/GfP2RHqMLd is operating shamelessly from residential apartments at many locations and even encroach passages for their parking; ethics n integrity is zero,1172526048837128192#,Fri Sep 13 15:02:49 +0000 2019
@vineeth_143 @Techglares Loot hi loot by https://t.co/GfP2RHqMLd even don't know if health n hygiene is maintained as they blatantly violate rules by operating from residential buildings n encroaching passages for their parking; if there is so much of greed quality will be compromised,1172525213172432897#,Fri Sep 13 14:59:29 +0000 2019
"RT @itsback2beauty: Back to Beautiful
 
.
💝Like and Share if you're loving this💝
.
 #eat #fit #instafit #fitgirl #fitness #sports #muscle #…",1172514058089783296#,Fri Sep 13 14:15:10 +0000 2019
"Back to Beautiful
 
.
💝Like and Share if you're loving this💝
.
 #eat #fit #instafit #fitgirl #fitness #sports #muscle #beautyblogger #motivation https://t.co/iDGZLAGJPf",1172513847745232901#,Fri Sep 13 14:14:20 +0000 2019
@BeCureFit Obviously spend on https://t.co/Yvy48VwtWZ meals...,1172495653215227904#,Fri Sep 13 13:02:02 +0000 2019
