text,id,date
"RT @ashi_apple: Ability is greater than disability. 
Coz they are nt “disabled”... they are “differently-abled”! 
Well done @swiggy_in !
Gr…",1174006103367020544#,Tue Sep 17 17:04:01 +0000 2019
Order not delivered but marked as delivered in the app @swiggy_in @SwiggyCares ! Super 👏👏👏👏 https://t.co/8vQAvguslF,1174005952044920838#,Tue Sep 17 17:03:25 +0000 2019
"My order. No is 1602956667 . 
I had ordered yesterday,but my order was not get delivered  and vallet Mr sujit kumar(+916203445393) is also switched off since then. And at 3 am I got email regarding delivery inspite off food is not delivered @zomatocare @zomatoindia @swiggy_in https://t.co/Jy9GClzwrV",1174005905509105664#,Tue Sep 17 17:03:14 +0000 2019
Bas nazariya badalne ki der hai! Lovely ad by @swiggy_in https://t.co/nFO8X9OgPv,1174005759610253313#,Tue Sep 17 17:02:39 +0000 2019
"@swiggy_in @SwiggyCares 

And the wait continues...One hour and counting for a simple meal...horribly disgusting! https://t.co/ToSos79cDQ",1174005730258456576#,Tue Sep 17 17:02:32 +0000 2019
What’s wrong with the app cannot even load the past orders!! The food ordered from inner chef was pathetic🤢 @Uber_India @UberEats @UberEats_IND @Zomato @ZomatoIN @swiggy_in,1174005709056270336#,Tue Sep 17 17:02:27 +0000 2019
"RT @rksharma0312: This proves no matter how hard time hits you, you still smile and say cheers to Life! 😢

A Great lesson to learn,
Kudos #…",1174005668723867648#,Tue Sep 17 17:02:18 +0000 2019
"RT @Jangid: A tight slap on the culture of ""Free"". This is Lucknow. Thank you @swiggy_in for giving equal opportunity to the hard working p…",1174005640693313537#,Tue Sep 17 17:02:11 +0000 2019
"@zomatocare Gesture and good services which zomato is lacking nowadays. I am really upset with such kinda blatant behavior. I used to order from zomato atleast thrice a week, but now have to move to swiggy",1174005570396815360#,Tue Sep 17 17:01:54 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174005446006333441#,Tue Sep 17 17:01:24 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174005372786368517#,Tue Sep 17 17:01:07 +0000 2019
